abandon*,-2
abate,-2
abdicate*,-2
abhor*,-4
abject,-2
abnormal*,-2
abolish*,-2
abomina*,-3
abrasive*,-2
abrupt,-2
abscond*,-2
absence,-2
absent*,-2
absurd*,-2
abuse*,-4
abusi*,-4
abyss,-2
accident*,-2
accomplish*,2
accost*,-2
accursed,-2
accus*,-2
accusation*,-2
ache*,-2
achen*,1
acher*,1
acheson,1
acheta,1
aching,-2
acrimon*,-2
addict*,-2
admir*,3
admiral*,1
admoni*,-2
ador*,4
adorn*,1
adroit,2
adulterat*,-2
adulteror,-3
adultery,-3
adventur*,1
advers*,-2
affab*,3
affectation*,-2
affection*,3
afflict*,-3
afraid,-4
against,-2
aggravat*,-3
aggress*,-3
aggrieve*,-2
aghast,-2
agitat*,-2
agonis*,-4
agoniz*,-4
agony,-4
agreeab*,1
ail,-2
ailing,-3
ailment*,-2
ails,-2
aimless*,-2
alarm*,-3
alas,-2
alibi*,-2
alien,-2
alienat*,-2
allegation*,-2
allege*,-2
alol,2
alone,-1
aloof,-2
altercation*,-2
amaz*,3
amazon*,1
ambiguit*,-2
ambiguous*,-2
ambivalent,-2
ambush*,-2
amiab*,3
amiss,-2
amor*,2
amoral*,-3
amort*,1
amour,2
amputate*,-2
amus*,2
anarchist*,-2
anarchy,-2
angelic,2
anger*,-4
angr*,-4
angraecum,1
angrecum,1
anguish*,-4
animosity,-2
annihilate*,-3
annihilation,-4
annoy*,-3
anomalous,-2
anomaly,-2
antagoni*,-2
anti-social,-2
antipathy,-2
antiquated*,-2
antitrust,-2
anxi*,-3
aok,2
apath*,-2
appall*,-4
applaud*,2
applause,2
appreciat*,2
apprehens*,-3
apprehens*,-3
arbitrary,-2
ardent,3
arduous*,-2
argh*,-2
argu*,-2
arrogan*,-3
arsehole*,-3
artificial,-1
asham*,-4
ashamed,-2
asinine,-2
assail*,-3
assassin*,-3
assault*,-3
asshole*,-3
asswipe,-3
astray,-2
asunder,-2
atrocious*,-4
atrophy,-2
attachment*,1
attack*,-3
attract*,2
auster*,-2
autocrat*,-2
autocratic,-3
avaric*,-3
avenge*,-2
aversi*,-3
avert*,-2
avoid*,-2
award*,1
awesome*,3
awful*,-4
awkward*,-2
babble*,-2
babies,2
baby,2
backwardness,-2
bad,-2
badly,-2
badmouth*,-3
badness,-3
baffle*,-2
bail*,-2
bait*,-2
balderdash,-2
balk*,-2
baloney,-2
banal*,-2
bandit*,-2
bane,-2
banish*,-2
bankrupt*,-3
barbari*,-3
barf*,-2
barren,-2
barrier*,-2
bashful*,-3
bastard*,-3
battle*,-2
beastly,-2
beaten,-1
beatings,-3
beaut*,3
beg,-2
beggar*,-2
behead*,-5
belated,-2
belie,-2
belittl*,-3
belligerent*,-3
beloved*,3
benefitt*,2
benevolen*,2
benign*,2
bereave*,-4
bereft,-2
berk,-2
berserk,-2
beseech,-2
beset,-2
besiege*,-2
best,2
betray*,-3
betroth,3
betrothal,3
beware,-2
bewilder*,-3
bff,4
bg,2
bigot*,-2
bilge,-2
birdbrain*,-2
bitch*,-2
bitter*,-2
bittern,1
bitterns,1
bittersweet*,1
bizarre,-2
blackmail*,-3
blah,-2
blam*,-2
blameless*,2
bland,-2
blatant*,-2
blather*,-2
bleak,-2
blemish*,-2
bless*,2
blind*,-2
bliss,5
blissful,5
block*,-2
blockhead*,-2
bloodshed,-2
bloodthirsty,-2
bloody,-2
blunder,-2
blunt*,-2
blur*,-2
blurt*,-2
boast*,-2
bogus*,-2
boisterous*,-2
bolt*,-2
bomb*,-2
bondage,-2
bonehead*,-2
bonny,2
bonus*,1
bore*,-2
boring*,-2
bother*,-2
bountiful,2
brag*,-2
brandish*,-2
brat,-2
bravado,-2
brave*,3
brawl*,-2
brazen,-2
breach*,-2
breakdown*,-2
bribe*,-2
brillian*,2
bristle*,-2
broke*,-2
broken-hearted*,-5
brokenhearted*,-5
brood*,-2
bruise*,-2
brusque,-2
brutal*,-3
brute,-2
brutish,-2
buckled,-2
buffoon*,-2
bug,-2
bullet*,-2
bullshit*,-3
bum,-2
bumhole*,-2
bungle*,-2
bunkum,-2
burden*,-2
burgl*,-2
buried,-3
burn*,-2
bury,-3
busybody,-2
butchery,-2
calamit*,-4
callous*,-4
calm*,2
cancel*,-2
cancer*,-4
cannibal*,-2
cannon,-2
capitulate*,-2
capricious*,-2
capsize*,-2
captive*,-2
capture*,-2
care,2
cared,2
careen,-2
carefree,2
careless*,-2
cares,2
caring,3
casualty,-3
cataclysm,-4
catastrophe,-4
cave,1
celebrat*,2
censor*,-2
censure*,-2
chafe,-2
challenge*,-2
chaos,-2
chaotic*,-2
charge*,-2
charm*,2
chase*,-2
chastise*,-3
cheap*,-2
cheat*,-3
cheer*,2
cheerful*,3
cheeri*,3
cheerio,1
cheerlead*,1
cheerless*,-3
cherish*,3
chide*,-2
childish,-2
choke*,-4
chore*,-3
chronic,-3
chuckl*,3
clamor*,-1
claptrap,-2
clash,-2
clatter,-2
clever*,1
clique,-2
clog,-2
clumsy,-2
clutter*,-2
coarse*,-2
cock,-2
cockiness,-2
cocksucker*,-4
cocky,-2
coerc*,-3
cold*,-2
collapse*,-2
collide*,-2
collision,-2
collusion,-2
combat,-2
combatant*,-2
comed*,1
comedown*,-2
comfort*,2
comfortless*,-3
commemorate*,-2
commiseration,-2
commit,1
commoner,-2
commonplace,1
commotion,-2
compassion*,2
compel,-2
complain*,-2
complicate*,-2
complication*,-2
complicity,-2
compliment*,2
compulsion,-2
conceal*,-2
conceit*,-2
concern*,-2
condemn*,-2
condemnation,-2
condescen*,-3
condol*,-3
confes*,-2
confidence,2
confidences,1
confident,2
confidently,2
confine,-2
confinement,-2
confiscate*,-2
confiscation,-2
conflict*,-2
confound*,-2
confront*,-3
confus*,-2
congested*,-2
congestion,-2
congratulate*,2
congratulation*,3
congratulatory,2
considerate,2
conspiracy,-2
conspirator*,-2
conspire*,-2
consternation,-2
constrain*,-2
consumptive,-2
contagio*,-2
contaminat*,-2
contempt*,-4
contend,-2
contented*,2
contentment,2
contradic*,-2
contrary*,-2
controvers*,-2
convict*,-2
cool,2
coolest,3
coolly,-2
coolness,-2
corrode,-2
corrosion,-2
corrosive*,-2
corrupt*,-3
corruption,-3
cosi*,2
costliness,-2
costly,-2
cosy,3
counteract*,-2
counteraction,-2
counterfeit*,-2
courag*,2
courteous,3
covert*,-2
covet*,-2
coward*,-2
cozi*,2
cozy*,2
crafty,-2
cram,-2
cramp*,-2
cranky,-2
crap,-3
crappy,-3
crass,-2
crave*,-2
crawl*,-1
craz*,-1
craze,-2
craziness,-2
crazy,-2
credulous,-2
cried,-4
cries,-3
crime*,-2
criminal*,-2
cringe,-2
cripple*,-2
crisis,-3
critic,-2
critical*,-2
critici*,-2
croak,-2
crook,-2
crooked,-2
cross,-2
crude*,-2
cruel*,-4
crumble,-2
crumple,-2
crush,-2
crushed,-1
crushing,-2
cry,-4
crye*,-4
crying,-4
cuddl*,3
culpable,-2
culprit,-2
cumbersome,-2
cunt*,-4
curse*,-2
cursory,-2
curt,-2
curtail*,-2
cute*,2
cutie*,2
cynic*,-2
damag*,-1
damn*,-2
danger*,-2
daring,1
dark,-1
darken,-1
darkness,-1
darlin*,3
darn,-2
daunting,-2
dawdle,-2
daze*,-2
dead,-3
deadliness,-2
deadlock,-2
deadly,-2
deadweight,-2
deaf*,-2
dear,2
dearth,-2
death*,-3
debatable,-2
debtor*,-2
decadence,-2
decadent*,-2
decay*,-2
decease,-2
deceit,-2
deceitful*,-3
deceive,-2
deception*,-2
deceptive*,-2
decline*,-2
decompos*,-2
decrease,-2
defam*,-2
default,-2
defeat*,-1
defeatis*,-2
defect*,-2
defective*,-3
defenc*,-1
defendant*,-2
defensive*,-2
defiance,-2
defiant*,-2
deficiency,-2
deficient*,-2
deficit,-2
defile,-2
defy,-2
degenerate*,-2
degrad*,-3
dejected*,-2
delay,-2
delectabl*,3
delicious*,3
deligh*,3
delinquency,-2
delinquent*,-2
delirium,-2
deluge,-2
delusion*,-2
demean*,-2
demeano*,1
demise,-2
demolish*,-2
demon,-2
demoralize,-2
denial,-2
denied,-2
denounce,-2
dent*,-2
deny,-2
dependent,-2
deplete*,-2
deplorable,-2
deplore*,-2
depose*,-2
deprav*,-4
depreciate*,-2
depreciation,-2
depress*,-4
depriv*,-2
deride,-2
derision,-2
derisive*,-2
derogatory,-2
desert,-1
deserting,-2
desertion*,-2
desirable,4
desolate,-2
desolation,-2
despair*,-4
desperat*,-3
despicable*,-4
despis*,-4
destitut*,-3
destroy*,-3
destroyer,1
destruct*,-1
destruction,-2
detachment,-2
detain,-2
deter,-2
determina*,1
determined,1
deterrent*,-2
detest*,-4
detract*,-2
detrimental,-2
devastat*,-5
devastate,-3
deviate,-2
deviation,-2
devil*,-2
devious*,-2
devoid,-2
devot*,3
diabolic*,-2
dickhead*,-2
dictate,-2
dictatorial,-2
differ,-2
difficult*,-2
digni*,2
dignitar*,1
dilemma,-2
dim,-2
dimwit*,-2
din,-2
dipshit*,-2
dire,-2
dirt,-2
dirty,-2
disable*,-2
disadvantage*,-2
disagre*,-2
disagree*,-2
disappoint*,-2
disapprov*,-2
disarm,-2
disaster*,-2
disastrous*,-4
disavow*,-2
disbelief,-2
discharge*,-2
disclaim*,-2
discomfort*,-2
disconcerted,-2
discontent*,-2
discord,-2
discordant,-2
discourag*,-2
discredit*,-2
discrepant,-2
discriminate*,-2
discrimination,-3
disdain,-2
disease*,-3
disgrace*,-4
disguise,-2
disgust*,-4
dishearten*,-2
dishonest*,-2
dishonor*,-2
disillusion*,-2
disingenuous*,-2
disinterest*,-2
dislike*,-3
disliking,-3
dismal,-2
dismay*,-3
dismiss*,-2
disobedience,-2
disobedient*,-2
disorder*,-2
disorganized,-2
disparage*,-2
dispel*,-2
dispensability,-2
dispense*,-2
displace*,-2
displease*,-3
displeasure,-3
disposal,-2
dispose*,-2
disproportionate,-2
disprove,-2
disputable,-2
dispute,-2
disregard*,-2
disrupt*,-2
dissatisf*,-2
dissent*,-2
dissolution,-2
distort*,-2
distract*,-2
distraught,-4
distress*,-3
distrust*,-2
disturb*,-2
divert,-1
divin*,2
division,-2
divorce*,-2
dizziness,-2
dizzy,-2
doldrums,-2
dolt,-2
dominate*,-2
domination,-2
doom*,-2
dope,-2
dork*,-3
doubt*,-2
douchebag*,-2
downcast,-3
downfall,-2
downhearted*,-3
drab,-2
drag,-2
dread*,-4
dreary*,-2
drivel,-2
droop*,-2
drop,-2
drought*,-2
drown*,-2
drowsiness,-2
drowsy,-2
drunk*,-2
dubious*,-2
dull*,-2
dumb*,-2
dump*,-2
dumpcart*,1
dumper*,1
dumpling*,1
dunce,-2
dunderhead*,-2
dungeon,-2
duty,-2
dwell*,-1
dwindle*,-2
dying,-2
dynamic*,2
dynamism,2
eager*,1
ease*,1
easie*,1
easily,1
easiness,1
easing,1
easy*,1
easygoing*,2
eccentric,-2
eccentricity,-2
ecsta*,4
eejit,-3
egotis*,-3
elegan*,2
eliminate,-2
elimination,-2
embarrass*,-3
emergencies,-2
emergency,-2
emotional,-2
empt*,-1
emptiness,-3
encourag*,2
encroach*,-2
endanger*,-2
enemie*,-2
enemy*,-2
energ*,1
enforce*,-2
engag*,1
engagingly,2
engulf*,-2
enjoy*,3
enrag*,-4
enslave*,-3
entangle*,-2
enthus*,3
entreat*,-2
envie*,-3
envious*,-3
envy*,-3
epidemic*,-2
epithet,-2
equivocal,-2
eradicate,-2
erase*,-2
erode*,-2
erosion,-2
err,-2
erroneous*,-2
error*,-2
esoteric,-2
estranged,-2
evade*,-2
evasion*,-2
evict*,-3
evil*,-3
exaggerat*,-2
exasperat*,-2
excel*,3
excellence,4
excellent,4
excess,-2
excessive*,-2
excit*,3
exclude,-2
exclusion*,-2
excommunicat*,-2
excrement,-4
excruciat*,-5
execute*,-2
exempt*,-2
exhaust*,-2
exile*,-2
exit,-2
expedient,-2
expel*,-2
expense,-2
expensive*,-2
explode*,-2
explosion*,-2
explosive*,-2
expose*,-2
exterminat*,-2
extinct,-2
extinguish*,-2
extravagant*,-2
exuberan*,3
fab,3
fabricat*,-2
fabulous*,3
faggot,-2
fail*,-3
faint,-2
faith*,2
faithless*,-3
fake*,-2
fallacy,-2
fallout,-2
falsehood*,-2
falter*,-2
famine*,-2
famished,-2
fanatic*,-2
fantastic*,3
fantastical*,1
farce,-2
fascist,-2
fat,-2
fatal*,-3
fathead*,-3
fatigu*,-3
fatty,-2
fault*,-2
favor*,2
favoritism*,-2
favour*,2
favouritism*,-2
fear,-4
feared,-3
fearful*,-3
fearing,-3
fearless*,2
fears,-3
fearsome,-2
feeble,-2
feign*,-2
feint,-2
feroc*,-4
festiv*,1
feud*,-3
fever,-2
feverish,-2
fiasco,-2
fickle,-2
fidget*,-2
fiend,-3
fierce*,-3
fiery,-2
fiesta*,1
fight*,-3
filth,-4
filthy,-2
fine,3
fired,-3
fist,-2
flagrant*,-2
flame,-3
flamed,-3
flaw,-2
flawless*,2
fled,-2
flee*,-2
fleeting,-2
flexib*,1
flimsy,-2
flirt*,2
flounder*,-2
flunk*,-3
foe*,-3
foet*,1
foetid,-5
foible*,-2
fond,3
fondly,3
fondness,3
fool*,-2
forbid*,-2
forbidding*,-3
force,-2
foreboding,-2
foreign,-2
forfeit,-2
forgave,2
forgetfulness,-2
forgiv*,2
forlorn*,-3
formidable,-2
forsake,-2
fought,-3
founder,-2
fracture*,-2
fragile,-2
frantic*,-2
fraud*,-2
fraught,-2
freak*,-2
fret*,-3
fretsaw*,-1
friend*,2
fright*,-4
frigid*,-2
frivolous,-2
frolic*,4
frown*,-2
fruitless,-2
frustrat*,-3
fuck,-3
fucked*,-3
fucker*,-3
fuckface,-3
fuckin*,-1
fucks,-3
fuckwit,-2
fuctard,-2
fud,-3
fugitive*,-2
fugly,-4
fumble*,-2
fume*,-3
fumes,-2
fuming,-4
fun,2
funn*,2
funnel*,1
furious*,-4
fury,-4
fuss,-2
fussy,-2
futility,-2
gall,-2
gamble*,-2
gaol*,-2
garbage,-3
gash*,-2
gassed,-2
gaudy,-2
gay,-2
geek*,-1
genero*,2
gentle,2
gentler,3
gentlest,3
gently,2
germ*,-2
ghastly,-2
ghetto,-2
gibberi*,-2
giggl*,3
glad,2
gladden*,3
gladly,2
gladness,3
glamor*,2
glamour*,2
glare*,-2
gloat*,-2
gloom*,-3
glori*,2
glorification,-2
glory,2
glum*,-3
gmbo,3
goddam*,-3
good,2
goodness,3
gorgeous*,3
gossip*,-1
grab*,-2
grace,3
graced,2
graceful*,3
graces,2
graci*,2
gracil*,1
grand,2
grande*,2
grapple,-2
gratef*,2
grati*,2
gratuitous,-2
grave*,-3
gravel*,1
great*,3
greed*,-3
grief,-4
griev*,-4
grim*,-3
grime*,-2
grimi*,-2
grin,2
grinn*,2
grins,2
grizzly,-2
gross*,-2
grotesque,-2
grouch*,-2
groucho*,1
growl,-2
grr*,-3
grudge,-2
gruff,-2
grumbl*,-3
guerrilla*,-2
guilt*,-4
guiltless*,1
guise,-2
gullible,-2
gun*,-2
gunmen,-2
h8,-4
ha,2
hack,-2
hag,-2
haggard,-2
haha*,2
halfwit,-2
handicap,-2
handsom*,2
hang,-2
hangover*,-3
haphazard*,-2
hapless*,-2
happi*,3
happy,2
harass*,-3
hardship*,-2
harm,-3
harmed,-3
harmful*,-2
harming,-3
harmless*,2
harmon*,2
harmonic*,1
harmonies,1
harmonisation,1
harmonization,1
harms,-3
harsh,-2
hassle*,-2
hate,-4
hated,-4
hateful*,-4
hater*,-4
hates,-4
hating,-4
hatred,-4
haughty,-2
haunt,-2
havoc,-2
hazard,-2
hazardous,-2
haziness,-2
hazy,-2
headache,-2
heartbreak*,-4
heartbroke*,-4
heartfelt,2
heartless*,-3
heartwarm*,3
heaven*,2
hectic,-2
heedless,-2
hehe*,2
heinous*,-5
hell,-2
hellish,-3
helpful*,2
helpless*,-2
hero*,3
hesita*,-1
hey,2
hideous,-2
hijack*,-2
hilarious*,3
hilarity,3
hinder,-2
hindrance,-2
hoard*,-2
hobble,-2
hogwash,-2
hoho*,3
hollow,-2
homely,-2
homesick*,-3
homie,2
homo,-3
honest*,1
honesty,2
honor*,1
honorabl*,2
honour*,1
honourabl*,2
hooey,-2
hope,3
hoped,2
hopeful,2
hopefully,1
hopefulness,2
hopeless*,-4
hopes,2
hoping,2
horde,-2
horr*,-4
hostil*,-3
hug,3
hugg*,3
hugs,3
humiliat*,-4
humor*,3
humorless*,-3
humour*,3
humourless*,-3
hunger,-2
hungr*,-2
hunter,-2
hurra*,3
hurt*,-3
hurtl*,1
hustle,-2
hustler,-2
hypochondriac,-2
hypocrisy,-2
hypocrite,-3
hysteria,-2
hysterical,-2
idioc*,-3
idiot*,-3
idleness,-2
ignoble,-2
ignor*,-3
ignore*,1
ignoring,1
ill,-2
illegal,-2
illegality,-2
illiterate,-2
illness,-2
illogical,-2
imaginative*,2
imbecile,-2
immaculate*,2
immature,-2
immobility,-2
immoral*,-3
immortal,2
immovable,-2
impair*,-2
impasse,-2
impatien*,-2
impede*,-2
impediment,-2
imperfect*,-2
impersonal,-1
impetuous*,-2
implicate,-2
implore,-2
impolite*,-3
importan*,1
impose*,-2
imprecision,-2
impress*,2
impression*,1
imprison*,-2
improp*,-2
improve*,2
improving,2
impulsive,-2
impure,-2
impurity,-2
inability,-2
inaccessib*,-2
inaccuracy,-2
inadequa*,-2
inane,-2
incapable,-2
incentive*,1
incessant,-2
incompatib*,-3
incompeten*,-3
inconsisten*,-2
inconvenien*,-2
incorrect,-2
incredible,1
incurable,-2
indecen*,-3
indecis*,-2
indefinite,-2
indetermin*,-2
indictment,-2
indifference,-2
indifferent,-2
indignation,-3
indulge,-2
ineffect*,-2
inefficiency,-2
inequalit*,-2
inexact*,-2
inexplicable,-2
infamous*,-2
infect*,-2
inferior* ,-2
infest*,-3
infiltrat*,-2
inflame*,-2
inflation,-2
inflict,-2
infraction*,-2
infringement*,-2
infuriate*,-2
ingratitude,-2
inhib*,-2
inhuman*,-3
injunction*,-2
injure,-2
injurious,-2
injury,-2
innocen*,2
insane,-2
insecur*,-2
insensible,-2
insidious*,-3
insignifican*,-2
insincer*,-3
